sentiment,text
negative,"predictable and cloying , though brown sugar is so earnest in its yearning for the days before rap went nihilistic that it summons more spirit and bite than your average formulaic romantic quadrangle ."
negative,paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre .
positive,. . . the plot weaves us into a complex web .
positive,"i admired it , particularly that unexpected downer of an ending ."
positive,"the hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame ."
negative,includes too much obvious padding .
positive,"you may be captivated , as i was , by its moods , and by its subtly transformed star , and still wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear ."
negative,press the delete key .
negative,"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill ."
negative,"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing ."
positive,""" on guard ! "" won't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world's best actors , daniel auteuil , have a whale of a good time ."
negative,"at the one-hour mark , herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion ."
positive,the film proves unrelentingly grim -- and equally engrossing .
negative,"far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love ."
positive,a model of what films like this should be like .
positive,. . . a delicious crime drama on par with the slickest of mamet .
positive,"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted ."
negative,"too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes ."
negative,high crimes miscasts nearly every leading character .
positive,i love the opening scenes of a wintry new york city in 1899 . cinematic poetry showcases the city's old-world charm before machines change nearly everything .
negative,[a] painfully flat gross-out comedy . . .
positive,wiseman reveals the victims of domestic abuse in all of their pity and terror .
positive,a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .
negative,"is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic ?"
negative,lurid and less than lucid work .
positive,a flawed but engrossing thriller .
negative,"the film takes too long getting to the good stuff , then takes too long figuring out what to do next ."
negative,"with the exception of mccoist , the players don't have a clue on the park . the acting isn't much better ."
negative,bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of castro so predominantly charitable it can only be seen as propaganda .
